question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
5,A,What hoses can be used for boiling water?,0,0,1,0,none,4.539,415,Answer is correct but lacks context and specificity
7,A,Which hydraulic hose and sleeve should I get for a particular excavator?,0,0,1,0,none,5.665,431,"The AI answer conveys the same core facts as the ground truth, but lacks specificity and context."
11,A,Which products are approved for food use?,0,0,0,1,hallucination,4.134,356,"Answer claims no information about food use products exists, despite the ground truth providing specific examples."
17,A,Do you have hoses that meet the EN 857 standard?,0,0,1,0,none,4.396,370,"The AI answer is incorrect because it does not mention any specific products meeting the EN 857 standard, whereas the ground truth provides several examples."
19,A,Do you have a product that can withstand both high pressure and vibrations?,0,0,1,1,hallucination,4.77,1012,The AI answer contains a fabricated claim about the product's suitability for high pressure and vibration without referencing specific product details.
20,A,What is the maximum working pressure for this hose at 100 °C?,0,0,0,1,hallucination,5.022,467,"The AI answer contains a fabricated claim about the maximum working pressure, which is not supported by the ground truth."
21,A,What hoses can be used for chemicals?,0,0,0,1,hallucination,5.596,587,"The AI answer contains a fabricated claim about the HYDROSCAND T1121 and KAPPAFLEX 2K CO families, which are not mentioned in the ground truth."
22,A,Natural rubber hoses?,0,0,0,1,hallucination,4.917,379,"Answer is entirely incorrect, no mention of natural rubber hoses despite the ground truth providing specific examples and details."
31,A,"I need a blue water hose in 3/4""?",0,0,0,0,unknown,5.331,479,Judge response not parseable
33,A,What is the difference between a 2SN and 2SC hose?,0,0,0,1,hallucination,4.536,360,The AI answer contains a fabricated claim about the difference between 2SN and 2SC hoses.
34,A,Which hydraulic hoses are rated for more than 300 bar working pressure?,0,0,0,1,hallucination,5.213,912,The AI answer contains unsupported claims about the working pressure of Hydroscand products exceeding 300 bar.
44,A,Need suggestions for hose for chemicals.,0,0,1,1,hallucination,5.912,560,"The AI answer contains unsupported claims about the KAPPAFLEX 2K CO (1105-10) family, which are not mentioned in the ground truth."
45,A,Hose for alkaline degreasing?,0,0,0,1,hallucination,4.388,384,"AI answer contains a fabricated claim about the absence of relevant information, when in fact it should have stated that hoses for alkaline degreasing are not mentioned"
46,A,What is the ISO standard for textile hose protection?,0,0,1,0,none,4.791,927,"The AI answer does not provide a specific reference to the ISO standard, but correctly states that the standard for measuring abrasion resistance of textile hose covers is ISO 6945."
47,A,"The flow is 150 liters per minute, what hose dimension should I choose for pressure?",0,0,1,0,none,4.704,456,"The AI answer is correct in stating the units, but it fails to provide any specific recommendations for hose dimensions based on the flow rate of 150 liters per minute."
48,A,"The flow is 20 liters per minute, what hose dimension should I choose for suction/return?",0,0,0,1,hallucination,4.516,449,Answer is incorrect and contains unsupported claim about recommended hose size
49,A,"The flow is 100 liters per minute and I can have a maximum pressure drop of 200 millibars, what hose dimension?",0,0,0,1,hallucination,4.278,475,The AI answer contains a factual claim (it's not possible to determine the required hose dimension) that is NOT supported by the ground truth.
63,A,What is the maximum temperature for hose 1071-00-16?,0,0,1,0,none,4.399,413,"Answer is incorrect because it states the answer cannot be found, when in fact the ground truth provides a clear maximum working temperature."
64,A,Which socket fits 1118-12-16?,0,0,0,1,hallucination,4.189,322,"Answer claims the answer cannot be determined, which is not supported by ground truth"
70,A,What is ISO bar?,0,0,1,0,none,4.971,480,"The AI answer does not convey the same core facts as the ground truth, but it correctly states units."
71,A,What standards are there for hydraulic hose?,0,0,0,1,hallucination,4.394,430,"The AI answer contains a fabricated claim about the absence of standards for hydraulic hoses, which is not supported by the ground truth."
72,A,Can I use environmental oil in 1105-63?,0,0,0,1,hallucination,4.178,354,"Answer claims no information is provided about compatibility, which contradicts the ground truth that environmental oil can be used in 1105-63"
74,A,Which hose should I use if I have 380bar in the machine?,0,0,1,0,none,4.703,430,"The AI answer does not convey the same core facts as the ground truth, but it correctly states units and provides a neutral response."
76,A,Is there a hose with a smooth outer casing?,1,0,0,0,none,4.481,406,"The AI answer conveys the same core facts as the ground truth, but lacks specific references to support its claims."
77,A,How do I install a shell sleeve?,0,0,0,1,hallucination,4.415,383,Answer contains entirely fabricated information about installing a shell sleeve
