question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,products_found,families_found,judge_reasoning
5,A,What hoses can be used for boiling water?,0,0,0,1,hallucination,3.042,286,0,1,"The AI answer contains a fabricated claim about the WATERBLAST product family being suitable for boiling water, which is not supported by the ground truth."
7,A,Which hydraulic hose and sleeve should I get for a particular excavator?,0,0,0,1,hallucination,0.387,171,0,0,The AI answer contains a factual claim ('Spiral hose with Rock is better choice') not supported by the ground truth.
11,A,Which products are approved for food use?,0,0,0,0,hallucination,0.149,113,0,0,"Answer claims no matching records were found, but the ground truth provides specific examples of food-approved products."
17,A,Do you have hoses that meet the EN 857 standard?,0,0,0,0,hallucination,0.35,206,0,2,"Answer claims no hoses meet the EN 857 standard, despite the ground truth providing specific examples of Hydroscand hoses that meet the standard."
19,A,Do you have a product that can withstand both high pressure and vibrations?,0,0,0,0,hallucination,0.796,274,0,0,"The AI answer provides a generic product suggestion without referencing a specific product code or article number, and contains a claim about the product's capabilities that is not supported by the ground truth."
20,A,What is the maximum working pressure for this hose at 100 °C?,0,0,0,0,hallucination,0.371,181,0,0,"The AI answer claims it cannot provide an answer due to lack of information, but the ground truth answer is clear that it needs more specific information about the hose product to provide an accurate answer."
21,A,What hoses can be used for chemicals?,0,0,0,0,none,0.159,112,0,0,No matching records found is a vague statement without any specific reference to the ground truth answer.
22,A,Natural rubber hoses?,0,0,0,0,hallucination,0.214,121,0,0,Answer completely ignores the existence of natural rubber hoses from Hydroscand
31,A,"I need a blue water hose in 3/4""?",0,0,0,0,hallucination,0.332,264,0,1,"Answer does not provide any specific product code, despite the ground truth mentioning multiple options."
33,A,What is the difference between a 2SN and 2SC hose?,0,0,0,0,hallucination,0.417,171,0,0,"Lacks specific information about the product codes, construction, and flexibility differences between 2SN and 2SC hoses"
34,A,Which hydraulic hoses are rated for more than 300 bar working pressure?,0,0,0,0,hallucination,0.169,120,0,0,"Answer claims no matching records were found, but ground truth provides specific examples of hydraulic hoses rated for more than 300 bar working pressure."
44,A,Need suggestions for hose for chemicals.,0,0,0,0,hallucination,0.469,202,0,0,"Answer claims no relevant information exists, despite the ground truth providing specific product codes and details."
