question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
1,A,What is the working pressure of article 1103-03-04?,1,1,1,0,none,3.038,363,"The AI answer matches the ground truth exactly, without any discrepancies or unsupported claims."
2,A,What is the outer diameter (YD mm) of article 1103-03-08?,1,1,1,0,none,4.274,364,"Answer matches ground truth exactly, no extraneous information"
3,A,"For product 1103-03-12, what is the ID in inches?",0,0,1,0,none,4.578,407,"The AI answer conveys the correct numerical value, but lacks context and proper unit notation."
4,A,What is the bend radius (Böjradie mm) for hose 1103-03-20?,1,1,1,0,none,4.411,366,"Answer matches ground truth exactly, no additional information or claims"
5,B,Compare the weight of 1103-03-04 and 1103-03-16.,0,0,1,0,none,4.494,410,"Answer conveys the same core facts as ground truth, but lacks context"
6,B,Which 1105-10 series hose has a working pressure of 45.0 MPa?,0,0,1,0,none,4.352,407,"Answer is incorrect because it claims the answer cannot be determined, but the ground truth provides a specific product code with correct working pressure."
7,A,What are the min and max lengths for 1105-10-04-30 on a reel?,1,1,1,0,none,4.279,329,The AI answer directly copies the ground truth without any deviation or error.
8,A,What is the ID in mm for article 1105-10-12?,0,0,1,0,none,4.689,431,Answer is correct but lacks specificity
9,A,What is the weight of 1105-10-16?,0,0,1,1,hallucination,4.459,425,"AI claims no information about the product code exists, but fails to acknowledge that it may be a typo or incorrect context"
10,B,Does 1105-10-08 have a larger bend radius than 1105-10-04?,0,0,1,0,none,4.457,407,"The AI answer is correct in stating that the question does not contain information about product code 1105-10-08, but it fails to address the actual comparison between the two products."
11,A,What is the working pressure for 1105-63-04?,1,1,1,0,none,4.293,367,"Answer matches ground truth exactly, no additional information or claims"
12,B,Compare the dimensions of 1105-63-04-30 and 1105-63-08-30.,0,0,0,1,hallucination,4.673,397,"AI claims no information is available, but the ground truth provides specific dimensions"
13,A,What is the bend radius for 1105-63-16?,0,0,0,1,hallucination,4.474,406,"AI claims no information about 1105-63-16 exists, despite referencing a related code"
14,A,What is the weight of 1105-63-20?,0,0,0,1,hallucination,4.475,397,"AI claims the answer cannot be determined, but it should have looked up the product code"
15,A,What is the working pressure of 1105-21-04?,1,1,1,0,none,4.342,370,"Answer matches ground truth exactly, no additional information or claims"
16,A,What is the YD mm for 1105-21-16?,1,1,1,0,none,4.357,361,"Answer matches ground truth exactly, no additional information or claims"
17,A,What is the ID in inches for 1105-43-06?,0,0,1,0,none,4.634,427,Answer is correct but lacks specificity
18,A,What is the max length for 1104-17-04-30?,0,0,0,1,hallucination,4.586,366,The AI answer contains an unsupported claim about the maximum length of product code 1104-17-04-30.
19,A,What is the weight of 1104-17-16?,0,0,1,0,none,4.634,432,"Answer conveys the same core fact (weight) as ground truth, but lacks context and proper citation."
20,A,What is the working pressure of 1102-14-04?,1,1,1,0,none,4.422,371,"Answer matches ground truth exactly, no deviations or inaccuracies"
