question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
5,A,What hoses can be used for boiling water?,0,0,0,0,hallucination,2.486,411,Answer completely misses the topic and context of boiling water hoses
7,A,Which hydraulic hose and sleeve should I get for a particular excavator?,0,0,0,0,hallucination,4.593,429,The AI answer contains a factual claim ('Spiral hose with Rock is better choice') not supported by the ground truth.
11,A,Which products are approved for food use?,0,0,0,0,hallucination,4.259,347,"Answer claims no information about food use is available, despite the ground truth providing specific examples of approved products."
17,A,Do you have hoses that meet the EN 857 standard?,0,0,0,1,hallucination,4.185,342,"The AI answer contains a false claim about the EN 857 standard, which is not supported by the ground truth."
19,A,Do you have a product that can withstand both high pressure and vibrations?,0,0,0,0,hallucination,5.035,1045,"The AI answer provides a product type (ISOBAR 420 CO ROCK X-HP) but lacks specific details and article numbers, and includes unsupported claims about the product's suitability."
20,A,What is the maximum working pressure for this hose at 100 °C?,0,0,0,0,hallucination,4.344,413,"The AI answer fails to acknowledge the need for a specific hose name or part number to provide an accurate answer, instead making a general statement that the maximum working pressure is not specified."
21,A,What hoses can be used for chemicals?,0,0,0,1,hallucination,4.75,510,"Incorrectly claims the HYDROSCAND T1121 is suitable for chemicals, without referencing a specific product code or article number"
22,A,Natural rubber hoses?,0,0,0,0,none,4.268,377,Answer is completely absent from the provided context
31,A,"I need a blue water hose in 3/4""?",0,0,0,0,unknown,4.56,429,Judge response not parseable
33,A,What is the difference between a 2SN and 2SC hose?,0,0,0,0,hallucination,4.446,360,"The AI answer contains a fabricated claim about the difference between 2SN and 2SC hoses, which is not supported by the ground truth."
34,A,Which hydraulic hoses are rated for more than 300 bar working pressure?,0,0,0,0,hallucination,4.868,919,"The AI answer fails to provide any specific information on the working pressure of the mentioned products, instead stating that it couldn't find any information on the working pressure, which is not a hallucination but a correct acknowledgment of the limitation."
44,A,Need suggestions for hose for chemicals.,0,0,0,1,hallucination,5.035,548,"The AI answer contains a fabricated product code (KAPPAFLEX 2K CO) not mentioned in the ground truth, and references a different product (EGEFLEX 1 CO PÅ BOBIN) that is not suitable for chemical applications."
45,A,Hose for alkaline degreasing?,0,0,0,0,hallucination,4.32,375,Answer completely ignores the topic of alkaline degreasing and instead discusses hydraulic engineering products
46,A,What is the ISO standard for textile hose protection?,0,0,0,0,hallucination,4.293,922,"The AI answer claims no ISO standard exists for textile hose protection, which is not supported by the ground truth."
47,A,"The flow is 150 liters per minute, what hose dimension should I choose for pressure?",0,0,0,0,hallucination,4.537,503,"The AI answer fails to provide a direct calculation or recommendation for hose dimension based on the flow rate, instead suggesting that more information is needed."
48,A,"The flow is 20 liters per minute, what hose dimension should I choose for suction/return?",0,0,0,0,hallucination,4.28,411,Answer completely ignores the flow rate and references no source documentation
49,A,"The flow is 100 liters per minute and I can have a maximum pressure drop of 200 millibars, what hose dimension?",0,0,0,0,hallucination,4.416,469,"Answer claims no correct hose dimension is possible without more information, which is incorrect"
63,A,What is the maximum temperature for hose 1071-00-16?,0,0,0,0,hallucination,4.221,403,"Answer claims no information is available, but ground truth clearly states +150°C as max working temperature"
64,A,Which socket fits 1118-12-16?,0,0,0,0,hallucination,4.149,321,"Answer claims the answer cannot be determined, despite the ground truth providing clear information"
70,A,What is ISO bar?,0,0,0,0,hallucination,4.299,399,"The AI answer fails to provide a definition for 'ISO bar', instead stating that the context only provides information about products with the prefix 'ISOBAR', which is not relevant to the question."
71,A,What standards are there for hydraulic hose?,0,0,0,0,hallucination,4.299,417,"Answer completely misses the mark, failing to provide any information about standards for hydraulic hoses."
72,A,Can I use environmental oil in 1105-63?,0,0,0,0,hallucination,4.204,373,AI answer is incorrect and contains a fabricated claim about the product code 1105-63
74,A,Which hose should I use if I have 380bar in the machine?,0,0,0,0,hallucination,4.331,402,"Answer does not provide any information about recommended hoses for a specific pressure, instead stating the context does not contain information about the recommended hose."
76,A,Is there a hose with a smooth outer casing?,1,0,1,0,none,4.245,343,"The AI answer conveys the same core facts as the ground truth, but lacks specific product references."
77,A,How do I install a shell sleeve?,0,0,0,1,hallucination,4.275,376,Answer is entirely fictional and does not reference any source documentation
